station,color_code,2015-7,2015-8,2015-9,2015-10,2015-11,2015-12,2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10
忠義,R,69394,67022,72743,76196,80906,77265,73457,72008,77202,79043,78490,72302,69394,70400,67198,75697,76823,78845,73393,73317,79376,74956,76043,74969,73516,72111,73005,74346,82367,78605,75622,70303,80411,73740,76267,74861,73407,76116,81534,90624,94554,90416,87700,80106,89599,87737,86295,84765,84199,81640,86501,89740,94109,94114,80901,80852,78707,68235,75440,76270,77438,85579,89019,89315
關渡,R,274107,270354,339097,356674,362979,360009,304722,326225,354189,354322,351903,324939,277150,286780,304370,360531,371303,373846,318717,311789,362172,346492,345990,330333,289339,284638,321732,334764,359069,362060,330002,320040,366966,337097,350816,338943,284994,285208,329357,363943,360250,365650,323610,340772,355196,341699,345611,328082,289941,282152,341848,365505,376321,378654,330741,285485,320686,270158,311485,314083,287037,313478,364495,378528
竹圍,R,252581,247403,265091,277025,279594,278819,263332,247016,278699,268693,274525,257595,248537,257197,246894,269014,273182,277390,252362,254631,272657,267060,266170,253930,250332,251721,256063,253914,268482,275923,261858,240528,278203,263454,269211,259614,252854,253960,261052,274524,273418,280628,270703,247214,273920,269562,272852,265437,260912,251728,267572,275361,282641,288234,253401,232881,229611,203653,226995,235131,239264,264037,273800,280276
紅樹林,R,182307,180842,188389,201253,199135,198636,186529,177957,206516,204460,189492,181867,172160,182607,162203,185057,183798,187808,176679,172012,195846,196176,182311,172632,171216,172744,174103,173483,183230,187001,179132,166290,200422,196165,188179,187322,178331,185349,186471,196929,196789,244754,359806,316327,311085,312577,279622,289380,296153,292154,302631,331536,324924,336305,304794,269503,267707,231160,262408,287082,291077,326479,328912,349290
淡水,R,980463,957391,1066982,1162061,1148185,1136040,1005151,1181284,1102831,1108324,1098868,1040026,962085,1042134,1004198,1163186,1139182,1183093,1046289,1096349,1103329,1142161,1080318,951331,962265,990520,971102,1075975,1050511,1106037,1024598,1047843,1179436,1101235,1079363,1049106,967592,986757,1024463,1136630,1099835,1131454,1016072,1174106,1084261,1084562,1029568,1012487,926363,929953,979141,1151327,1068108,1090047,956171,746148,755588,653001,763057,843116,781317,895972,916277,1049320
頂埔,BL,136381,152253,152975,159852,164805,170323,167495,173484,177849,173470,178661,174795,176660,183658,171502,188874,193493,200573,193731,192506,196957,197774,197032,195967,198232,200204,200567,197633,206794,218740,209425,203737,217484,208214,215472,213767,211088,215731,213233,223361,226402,233345,223320,209791,221835,217028,220937,220932,223349,218482,224945,232633,240343,248699,223348,227083,212693,182858,203811,214519,226669,248544,250477,249268
永寧,BL,364109,344191,330268,324758,332019,344107,317337,315478,328528,318959,339887,310709,313260,351766,290859,317262,324908,349285,316121,323922,340145,337737,351141,329614,338002,351373,359229,325551,339032,367665,337497,325988,357065,344038,369713,348330,355450,386050,370842,377139,376025,401384,378252,357164,377095,375503,381023,370259,385936,403144,378027,390251,401016,416076,359978,323029,305799,265690,307241,324471,337226,378060,383920,390456
土城,BL,180421,179722,178380,185053,186276,190527,182817,177591,192548,184805,185658,176881,179108,185876,169017,185994,188353,196760,183148,185882,193653,189795,188426,182311,184884,185084,184301,182552,188800,201251,189740,181905,201198,191640,196299,189222,188668,195039,189032,199109,201575,211030,202689,187590,203982,199317,201931,195698,198121,195931,198076,206301,211045,221474,194408,179079,174539,155672,178539,188291,195991,219257,219417,222999
海山,BL,520174,510102,533960,553718,566387,577543,545459,516390,572572,555928,566569,535709,528665,541963,516175,568289,583329,603730,552373,560579,587442,570231,576188,562023,553929,552767,568061,558602,590948,616954,584178,532860,610983,572829,598229,572569,561143,574826,579092,605907,613570,629966,605370,549444,600801,591778,603668,580941,585154,560891,595347,610338,633689,646857,561506,522348,529873,467192,524751,538929,556514,607255,637956,639201
亞東醫院,BL,442574,441483,458523,488125,498087,505982,474488,425173,510091,482019,499037,475411,460781,472527,452363,507520,521957,538839,481103,484235,532924,513039,525101,517977,496966,496520,514039,505295,546439,567802,532898,476218,574794,537934,567206,555675,539950,557419,575052,608101,619812,647334,612130,538296,625329,604386,629385,609816,601427,586220,619964,638135,661912,677300,558743,532219,533773,462795,524094,542645,552730,601706,644618,636777
