station,color_code,2015-7,2015-8,2015-9,2015-10,2015-11,2015-12,2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10
台北橋,O,228169,227404,231099,236083,240627,250196,253151,254033,261728,248407,251656,247455,247737,256723,234134,254041,258866,270734,260077,269657,272549,264703,263428,266209,265104,269010,257733,255982,264788,278907,269524,270335,277066,264731,267475,266703,264504,272353,264846,274384,273347,282945,281542,263841,279501,271993,275421,277834,277378,278214,272552,280751,283953,293823,267066,251861,233896,204313,231565,247277,258321,289255,282199,289051
大橋頭,O,259196,263105,293619,299888,307826,313752,305906,288235,321055,300138,307141,289295,276517,288100,278572,310230,317796,324728,316345,295625,316713,303876,304632,300746,286370,289586,302950,294520,315284,325010,312668,301695,325335,303198,309951,301894,293906,304462,313141,325090,329421,337796,348571,304030,332931,328379,330851,320328,311226,312434,327117,338222,349028,362722,339826,277940,277013,241636,273145,287959,292650,333590,341881,346965
中山國小,O,398737,403439,419752,426560,438145,457240,446268,399353,473835,430193,453453,430971,421450,440764,416236,445123,460817,481273,442590,442499,480651,449556,459282,457466,440139,446950,457326,442230,470206,493309,469054,421241,484574,440876,464634,454268,449138,457948,463886,477347,483095,506257,488463,422851,491691,464717,486984,467869,470160,461808,476745,480405,495036,514857,441905,411023,396324,338645,381307,400476,423627,462994,480809,471010
行天宮,O,674957,688786,680677,698932,702227,722284,745779,727700,772705,715294,735825,699948,721026,721983,669799,732065,749236,769784,759357,753115,779384,733065,739668,737706,748363,744690,727578,708505,764318,791649,790295,766100,793979,726350,750450,737242,747130,767523,741257,773859,773318,815838,818195,754683,794871,768321,791763,769059,804490,757876,788473,797889,825091,867619,770426,714057,663304,564825,645292,669949,712983,789715,792994,771762
東門,O,631774,645907,637982,654162,665833,686447,671183,641100,710552,656416,693916,654555,675933,718438,637133,695324,702794,738935,679294,684539,719827,676681,691677,674637,685313,704908,673064,661480,700884,741521,706714,648460,732482,664329,705221,680757,690897,714985,690006,717819,723643,763541,747755,658494,751190,706743,739254,713168,729382,744315,727258,751037,777986,821711,716777,606304,553257,478090,556474,589592,618999,695945,680621,664926
蘆洲,O,280640,276744,295482,301648,311084,312178,300138,281867,316787,306641,313331,302231,293023,305489,295733,320594,326583,333020,300396,309633,327272,316701,317363,312598,308188,312235,326035,316475,337523,348248,331064,298423,344243,328070,341349,332061,325917,335094,343652,363214,360281,370884,358643,320492,361750,353944,366041,357425,357770,350100,370810,376137,388162,394066,336932,315394,325399,284010,321415,333417,343646,377159,392453,392212
三民高中,O,300795,299769,313322,322786,334361,338068,318830,306865,337968,323409,329981,312856,309334,317098,303376,334815,343322,355029,325028,333965,349744,338408,337769,329772,322331,323804,335617,326066,345286,356771,340902,307701,356913,332966,342215,326668,313739,317778,329342,344080,348228,358824,344692,317183,345101,336077,341921,329378,325309,315180,337957,346356,355977,360070,314701,287327,297472,260703,291215,298380,305114,333214,351106,349849
徐匯中學,O,313947,310567,317799,329694,337334,344052,337666,314232,345508,321775,334148,318969,314994,322238,303235,330924,339499,352034,322964,329665,342234,328659,330198,329127,322611,328079,325415,326212,342291,358450,341390,315553,347029,321935,337764,330285,322008,332397,333856,348023,351114,363087,354772,318257,351688,340316,350358,343604,345237,339262,351551,360985,370419,384395,333537,304415,302515,265367,299738,314194,327018,358151,364278,365522
三和國中,O,280452,282218,295206,303890,312184,318357,308066,291420,327108,307086,314818,301301,291658,298216,229727,301055,318473,326774,298390,308708,326951,313779,314334,310850,302002,302830,310880,304952,320898,333075,318369,292341,328880,311466,321101,309760,301940,309972,319644,333330,334634,345785,332044,299300,335396,325925,335061,325902,322524,316048,333350,338677,347502,361562,307186,287936,294422,258009,286374,296785,302565,331604,347122,346560
三重國小,O,290281,286478,300390,310169,317966,323039,319145,310523,334252,313263,320201,303862,299593,306881,292754,315808,324332,333079,308286,317784,332533,321503,323419,317880,311483,313749,315601,313546,326880,342367,330466,307785,339489,319648,327767,318587,312012,314918,321516,335566,334682,343188,336012,307696,338667,326728,335789,328177,326140,317803,332308,337227,345256,353236,311983,293608,294040,258502,286284,293141,298047,327978,340029,343972
迴龍,O,203504,201629,220340,232823,237380,238197,220956,205675,235976,225606,235624,222997,210760,218713,224751,249033,254584,265743,233007,241473,250925,241592,246280,237892,224107,229275,241863,246708,258020,265670,248367,216059,267572,250449,264529,256587,232589,240759,262580,276016,275007,282739,258283,240088,274290,264860,270758,261898,243640,240608,277279,289552,291422,295056,244687,224919,253981,221430,248115,256260,241977,263423,294818,304797
丹鳳,O,194231,193957,204823,212550,217691,222216,217257,206726,227133,216530,221945,210885,207294,215484,207166,225210,231186,239775,221743,227551,230869,224136,225692,219916,215234,217732,223215,219030,230237,238359,230445,211328,241950,228223,235297,226016,221803,225479,232894,243235,248142,253839,248567,224756,249767,240992,245181,239304,237613,231570,245569,253880,259231,266303,229454,224148,226876,198812,221844,228410,234778,256843,268187,270868
十四張,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7951,29852,19627,16967,17988,18576,19998,21705,29009,30583
秀朗橋,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12247,77295,57314,50161,56857,59459,63011,70404,70033,74330
景平,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15489,104657,79771,70654,80849,84104,89276,100261,102480,104825
中和,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30531,150005,103418,91315,104706,110354,115867,131784,128487,135892
橋和,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7267,49112,38569,34296,37838,39946,44787,51051,53434,51080
中原,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7373,64779,53710,48416,55106,55794,61359,68932,72097,70124
板新,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11246,72438,57631,50642,57329,59041,61128,67559,71324,71360
Y板橋,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74561,270922,184775,157492,182782,185702,197521,221943,220665,240272
新埔民生,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21302,102725,69539,57961,62800,52562,53696,59225,63139,65751
幸福,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20753,125896,82259,67750,76968,81586,85002,98116,97628,104705
新北產業園區,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36728,124772,77242,65711,75544,82321,90158,115948,110585,114231
